文件名,原规则,新判定,新证据
167894246493_167894246493_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894250187_167894250187_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894250239_167894250239_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894254780_167894254780_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894258131_167894258131_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894262533_167894262533_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894262535_167894262535_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894319930_167894319930_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167894332693_167894332693_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['aesopauto.com']
167894841385_167894841385_3.webp,1-包含中文内容,KEEP,
167894870827_167894870827_5.webp,1-包含中文内容,KEEP,
167894921375_167894921375_4.webp,3-包含联系方式,REVIEW,疑似促销/营销横幅: ['shipping']
167895390066_167895390066_1.webp,1-包含中文内容,KEEP,
167895390066_167895390066_4.webp,1-包含中文内容,KEEP,
167896124555_167896124555_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167896124555_167896124555_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167896130587_167896130587_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167896130587_167896130587_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167896170041_167896170041_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167896170041_167896170041_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167896170084_167896170084_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167896170084_167896170084_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167896170130_167896170130_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167896170130_167896170130_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897603633_167897603633_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897606126_167897606126_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897606126_167897606126_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897606271_167897606271_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897610230_167897610230_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897610230_167897610230_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
